Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass,SibSp,Parch
2.097522980615683,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.505836191857004,1.0,0.0,0.0,0.0,1.0,3,1,0
-0.32873047752168555,1.0,0.0,0.0,0.0,1.0,2,0,0
-0.6215824461076452,1.0,0.0,0.0,1.0,0.0,3,0,0
-0.6118207138214465,0.0,1.0,0.0,0.0,1.0,3,2,0
-0.24738456784760846,1.0,0.0,1.0,0.0,0.0,3,0,0
-0.6215824461076452,1.0,0.0,0.0,1.0,0.0,3,0,0
-0.21158969008730175,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.6048480479027332,0.0,1.0,0.0,0.0,1.0,3,0,0
2.661148668422588,0.0,1.0,0.0,0.0,1.0,1,1,0
1.0102556604461415,0.0,1.0,1.0,0.0,0.0,2,1,1
-0.6215824461076452,0.0,1.0,0.0,1.0,0.0,3,0,0
0.3964267780245002,0.0,1.0,0.0,0.0,1.0,2,1,0
0.09102401078485652,0.0,1.0,0.0,0.0,1.0,3,1,1
-0.15580836273759505,1.0,0.0,0.0,0.0,1.0,3,1,0
-0.613449528580058,0.0,1.0,1.0,0.0,0.0,3,0,0
0.5024112999889426,1.0,0.0,0.0,0.0,1.0,3,1,4
-0.15580836273759505,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.6190276613150286,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.32873047752168555,0.0,1.0,0.0,0.0,1.0,2,0,0
1.184338026839106,0.0,1.0,1.0,0.0,0.0,1,0,0
-0.6606293752524398,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.6215824461076452,1.0,0.0,0.0,1.0,0.0,3,0,2
0.5477336284605793,1.0,0.0,1.0,0.0,0.0,1,0,0
1.707522252317474,1.0,0.0,1.0,0.0,0.0,1,0,0
2.571898544663058,1.0,0.0,0.0,0.0,1.0,2,1,2
1.8467412891168717,1.0,0.0,0.0,0.0,1.0,1,1,0
3.77119708268175,1.0,0.0,0.0,0.0,1.0,1,0,0
-0.32873047752168555,0.0,1.0,0.0,0.0,1.0,2,0,0
-0.613449528580058,0.0,1.0,0.0,0.0,1.0,3,0,0
0.3964267780245002,0.0,1.0,0.0,0.0,1.0,2,0,0
1.9081007492015492,1.0,0.0,0.0,0.0,1.0,1,1,0
-0.6713226557053786,0.0,1.0,0.0,1.0,0.0,3,0,0
3.3639933930288914,1.0,0.0,1.0,0.0,0.0,1,0,0
0.059881295725515364,0.0,1.0,0.0,0.0,1.0,3,1,0
-0.2845684006589228,1.0,0.0,1.0,0.0,0.0,2,0,0
-0.6225139942743854,1.0,0.0,0.0,1.0,0.0,3,0,0
-0.6048480479027332,0.0,1.0,0.0,0.0,1.0,3,0,0
0.3964267780245002,1.0,0.0,0.0,0.0,1.0,2,0,2
0.12170374082719518,1.0,0.0,0.0,0.0,1.0,3,0,4
-0.613449528580058,0.0,1.0,1.0,0.0,0.0,3,0,0
2.8257035841042226,0.0,1.0,0.0,0.0,1.0,3,8,2
0.6235014053996858,1.0,0.0,1.0,0.0,0.0,2,1,0
0.3964267780245002,0.0,1.0,0.0,0.0,1.0,2,1,0
-0.6060082995116072,1.0,0.0,0.0,1.0,0.0,3,0,0
2.0140852711659916,1.0,0.0,0.0,0.0,1.0,1,0,1
-0.32873047752168555,0.0,1.0,0.0,0.0,1.0,2,0,0
-0.613449528580058,0.0,1.0,0.0,0.0,1.0,3,0,0
1.15505282998051,0.0,1.0,1.0,0.0,0.0,1,0,0
0.28486412332508704,1.0,0.0,1.0,0.0,0.0,2,1,0
-0.6118207138214465,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.15580836273759505,0.0,1.0,0.0,0.0,1.0,3,1,0
-0.613449528580058,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.6508676429662412,0.0,1.0,1.0,0.0,0.0,3,0,0
0.09381307715234188,0.0,1.0,0.0,0.0,1.0,3,1,2
0.41037210986192685,1.0,0.0,0.0,0.0,1.0,2,1,1
-0.08329263718297661,1.0,0.0,0.0,0.0,1.0,3,1,0
0.3964267780245002,0.0,1.0,0.0,0.0,1.0,1,0,0
0.3964267780245002,0.0,1.0,0.0,0.0,1.0,2,0,0
-0.24505848649712567,0.0,1.0,0.0,0.0,1.0,3,0,2
-0.6271605788426159,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.613449528580058,0.0,1.0,0.0,0.0,1.0,3,0,0
-0.6603950936775711,0.0,1.0,0.0,0.0,1.0,3,0,0
-1.0538877330678713,0.0,1.0,0.0,0.0,1.0,2,0,0
-0.6118207138214465,1.0,0.0,0.0,0.0,1.0,3,4,2
-0.6662075079874106,0.0,1.0,0.0,1.0,0.0,3,0,0
-0.18927715914741908,0.0,1.0,0.0,1.0,0.0,3,1,1
-1.0538877330678713,0.0,1.0,0.0,0.0,1.0,3,0,0
0.3734169804927462,0.0,1.0,0.0,0.0,1.0,1,0,0
0.42710650806683886,0.0,1.0,0.0,0.0,1.0,1,0,0
0.3964267780245002,0.0,1.0,0.0,0.0,1.0,2,1,0
-0.41240246854624546,0.0,1.0,0.0,0.0,1.0,2,0,0
0.11752014127596723,0.0,1.0,0.0,0.0,1.0,2,1,0
-0.4268107854006747,0.0,1.0,1.0,0.0,0.0,3,1,0
-0.6215824461076452,1.0,0.0,0.0,1.0,0.0,3,0,0
-0.46818379589595205,0.0,1.0,0.0,0.0,1.0,2,0,0
-0.6494731097824985,0.0,1.0,0.0,0.0,1.0,3,1,0
